gewest;provincie;arrondissement;nis_code;postcode;gemeente;leeftijdsgroep_(jaar);geslacht;aantal_verblijven
Vlaams Gewest;Antwerpen;Mechelen;12005.0;2820.0;Bonheiden;15 – 64;Vrouwelijk;629
Vlaams Gewest;Antwerpen;Mechelen;12005.0;2820.0;Bonheiden;65 – ...;Mannelijk;601
Vlaams Gewest;Antwerpen;Mechelen;12005.0;2820.0;Bonheiden;65 – ...;Vrouwelijk;638
Vlaams Gewest;Antwerpen;Mechelen;12007.0;2880.0;Bornem; 0 – 14;Mannelijk;76
Vlaams Gewest;Antwerpen;Mechelen;12007.0;2880.0;Bornem; 0 – 14;Vrouwelijk;48
Vlaams Gewest;Antwerpen;Mechelen;12007.0;2880.0;Bornem;15 – 64;Mannelijk;706
Vlaams Gewest;Antwerpen;Mechelen;12007.0;2880.0;Bornem;15 – 64;Vrouwelijk;928
Vlaams Gewest;Antwerpen;Mechelen;12007.0;2880.0;Bornem;65 – ...;Mannelijk;682
Vlaams Gewest;Antwerpen;Mechelen;12007.0;2880.0;Bornem;65 – ...;Vrouwelijk;639
Vlaams Gewest;Antwerpen;Mechelen;12009.0;2570.0;Duffel; 0 – 14;Mannelijk;109
Vlaams Gewest;Antwerpen;Mechelen;12009.0;2570.0;Duffel; 0 – 14;Vrouwelijk;82
Vlaams Gewest;Antwerpen;Mechelen;12009.0;2570.0;Duffel;15 – 64;Mannelijk;608
Vlaams Gewest;Antwerpen;Mechelen;12009.0;2570.0;Duffel;15 – 64;Vrouwelijk;822
Vlaams Gewest;Antwerpen;Mechelen;12009.0;2570.0;Duffel;65 – ...;Mannelijk;545
Vlaams Gewest;Antwerpen;Mechelen;12009.0;2570.0;Duffel;65 – ...;Vrouwelijk;592
Vlaams Gewest;Antwerpen;Mechelen;12014.0;2220.0;Heist-op-den-Berg; 0 – 14;Mannelijk;280
Vlaams Gewest;Antwerpen;Mechelen;12014.0;2220.0;Heist-op-den-Berg; 0 – 14;Vrouwelijk;240
Vlaams Gewest;Antwerpen;Mechelen;12014.0;2220.0;Heist-op-den-Berg;15 – 64;Mannelijk;1359
Vlaams Gewest;Antwerpen;Mechelen;12014.0;2220.0;Heist-op-den-Berg;15 – 64;Vrouwelijk;1979
Vlaams Gewest;Antwerpen;Mechelen;12014.0;2220.0;Heist-op-den-Berg;65 – ...;Mannelijk;1329
Vlaams Gewest;Antwerpen;Mechelen;12014.0;2220.0;Heist-op-den-Berg;65 – ...;Vrouwelijk;1366
Vlaams Gewest;Antwerpen;Mechelen;12021.0;2500.0;Lier; 0 – 14;Mannelijk;313
Vlaams Gewest;Antwerpen;Mechelen;12021.0;2500.0;Lier; 0 – 14;Vrouwelijk;256
Vlaams Gewest;Antwerpen;Mechelen;12021.0;2500.0;Lier;15 – 64;Mannelijk;1091
Vlaams Gewest;Antwerpen;Mechelen;12021.0;2500.0;Lier;15 – 64;Vrouwelijk;1539
Vlaams Gewest;Antwerpen;Mechelen;12021.0;2500.0;Lier;65 – ...;Mannelijk;1066
Vlaams Gewest;Antwerpen;Mechelen;12021.0;2500.0;Lier;65 – ...;Vrouwelijk;1210
Vlaams Gewest;Antwerpen;Mechelen;12025.0;2800.0;Mechelen; 0 – 14;Mannelijk;696
Vlaams Gewest;Antwerpen;Mechelen;12025.0;2800.0;Mechelen; 0 – 14;Vrouwelijk;616
Vlaams Gewest;Antwerpen;Mechelen;12025.0;2800.0;Mechelen;15 – 64;Mannelijk;2785
Vlaams Gewest;Antwerpen;Mechelen;12025.0;2800.0;Mechelen;15 – 64;Vrouwelijk;4202
Vlaams Gewest;Antwerpen;Mechelen;12025.0;2800.0;Mechelen;65 – ...;Mannelijk;2620
Vlaams Gewest;Antwerpen;Mechelen;12025.0;2800.0;Mechelen;65 – ...;Vrouwelijk;2882
Vlaams Gewest;Antwerpen;Mechelen;12026.0;2560.0;Nijlen; 0 – 14;Mannelijk;203
Vlaams Gewest;Antwerpen;Mechelen;12026.0;2560.0;Nijlen; 0 – 14;Vrouwelijk;138
Vlaams Gewest;Antwerpen;Mechelen;12026.0;2560.0;Nijlen;15 – 64;Mannelijk;677
Vlaams Gewest;Antwerpen;Mechelen;12026.0;2560.0;Nijlen;15 – 64;Vrouwelijk;988
Vlaams Gewest;Antwerpen;Mechelen;12026.0;2560.0;Nijlen;65 – ...;Mannelijk;667
Vlaams Gewest;Antwerpen;Mechelen;12026.0;2560.0;Nijlen;65 – ...;Vrouwelijk;683
Vlaams Gewest;Antwerpen;Mechelen;12029.0;2580.0;Putte; 0 – 14;Mannelijk;134
Vlaams Gewest;Antwerpen;Mechelen;12029.0;2580.0;Putte; 0 – 14;Vrouwelijk;81
Vlaams Gewest;Antwerpen;Mechelen;12029.0;2580.0;Putte;15 – 64;Mannelijk;580
Vlaams Gewest;Antwerpen;Mechelen;12029.0;2580.0;Putte;15 – 64;Vrouwelijk;807
Vlaams Gewest;Antwerpen;Mechelen;12029.0;2580.0;Putte;65 – ...;Mannelijk;565
Vlaams Gewest;Antwerpen;Mechelen;12029.0;2580.0;Putte;65 – ...;Vrouwelijk;594
Vlaams Gewest;Antwerpen;Mechelen;12030.0;2870.0;Puurs; 0 – 14;Mannelijk;69
Vlaams Gewest;Antwerpen;Mechelen;12030.0;2870.0;Puurs; 0 – 14;Vrouwelijk;87
Vlaams Gewest;Antwerpen;Mechelen;12030.0;2870.0;Puurs;15 – 64;Mannelijk;501
Vlaams Gewest;Antwerpen;Mechelen;12030.0;2870.0;Puurs;15 – 64;Vrouwelijk;691
Vlaams Gewest;Antwerpen;Mechelen;12030.0;2870.0;Puurs;65 – ...;Mannelijk;515
Vlaams Gewest;Antwerpen;Mechelen;12030.0;2870.0;Puurs;65 – ...;Vrouwelijk;546
Vlaams Gewest;Antwerpen;Mechelen;12034.0;2890.0;Sint-Amands; 0 – 14;Mannelijk;43
